sec,face_present,num_faces,face_area
573,True,1,0.038586776703596115
574,True,1,0.010227632708847523
575,False,0,0.0
576,True,2,0.009201359003782272
577,True,3,0.017111537978053093
578,True,3,0.028618590906262398
579,True,1,0.0006374976946972311
580,True,1,0.0006107964436523616
581,True,1,0.0008129343623295426
582,True,1,0.0010475623421370983
583,True,1,0.012389060109853745
584,True,1,0.02130763977766037
585,True,1,0.02790464274585247
586,True,1,0.02888610027730465
587,True,1,0.028368135914206505
588,True,1,0.02875412628054619
589,True,1,0.02786210924386978
590,True,1,0.042107634246349335
591,True,1,0.04231712967157364
592,True,1,0.028730444610118866
593,True,1,0.027091553434729576
594,True,1,0.04290051758289337
595,True,1,0.04332144185900688
596,True,1,0.028071515262126923
597,True,1,0.028379598632454872
598,True,1,0.027347924187779427
599,True,1,0.027862610295414925
600,False,0,0.0
601,True,1,0.04664653539657593
602,True,1,0.032536569982767105
603,True,1,0.02208281122148037
604,False,0,0.0
605,False,0,0.0
606,False,0,0.0
607,True,1,0.024515051394701004
608,True,1,0.031861595809459686
609,True,1,0.03318220376968384
610,True,1,0.030923230573534966
611,True,1,0.032042451202869415
612,True,1,0.03240261971950531
613,True,1,0.0318731851875782
614,True,1,0.021044883877038956
615,True,1,0.021065864711999893
616,True,3,0.09130468219518661
617,True,3,0.09008694440126419
618,True,3,0.07075141370296478
619,True,3,0.06763872504234314
620,True,3,0.07439955323934555
621,True,2,0.14593978226184845
622,True,2,0.14168737828731537
623,True,2,0.14335563778877258
624,True,2,0.06504341959953308
625,True,2,0.06224950775504112
626,True,2,0.06268680095672607
627,True,3,0.009702031500637531
628,True,3,0.00938443187624216
629,True,3,0.009403378702700138
630,True,3,0.00958546157926321
631,True,3,0.010199774987995625
632,True,3,0.009631034918129444
633,True,1,0.02059590071439743
634,True,1,0.01988437958061695
635,True,1,0.01948099210858345
636,True,4,0.03799706697463989
637,True,3,0.02859967201948166
638,True,2,0.026255832985043526
639,True,4,0.03392888978123665
640,True,3,0.030553223565220833
641,True,2,0.025792336091399193
642,True,2,0.024000445380806923
643,True,2,0.01372013334184885
644,True,2,0.013742939569056034
645,True,1,0.032851383090019226
646,True,1,0.03196421638131142
647,True,1,0.03220224753022194
648,True,1,0.0500081330537796
649,True,1,0.06156264990568161
650,True,1,0.05962720885872841
651,True,1,0.06098213791847229
652,True,1,0.05810846388339996
653,True,1,0.035860300064086914
654,False,0,0.0
655,True,1,0.01833513006567955
656,True,1,0.01939394697546959
657,True,1,0.01916317455470562
658,True,1,0.0168123971670866
659,True,1,0.02942510135471821
660,True,1,0.029879583045840263
661,True,1,0.028558509424328804
662,True,1,0.029691006988286972
663,True,1,0.030958978459239006
664,True,1,0.03009323589503765
665,True,1,0.03111819364130497
666,True,1,0.030938774347305298
667,True,1,0.03114764392375946
668,True,1,0.029959263280034065
669,True,1,0.02863740734755993
670,True,1,0.030078399926424026
671,True,1,0.030233485624194145
672,True,2,0.07863729447126389
673,True,2,0.07008998841047287
674,True,1,0.029474586248397827
675,True,1,0.031573712825775146
676,True,1,0.031072333455085754
677,True,1,0.031853221356868744
678,True,1,0.03198157995939255
679,True,2,0.06842520087957382
680,True,2,0.06996406614780426
681,True,1,0.03135949373245239
682,True,1,0.03115958906710148
683,True,1,0.03097044676542282
684,True,5,0.04791804403066635
685,True,5,0.045888952910900116
686,True,5,0.04471278190612793
687,True,5,0.0460464209318161
688,True,5,0.046761538833379745
689,True,2,0.013140575960278511
690,True,2,0.014102407731115818
691,True,2,0.014265953563153744
692,True,2,0.01272201631218195
693,True,2,0.012416998855769634
694,True,2,0.012575561180710793
695,True,2,0.01187895704060793
696,True,2,0.01163710467517376
697,True,2,0.012101502157747746
698,True,2,0.012831563130021095
699,True,2,0.011986467987298965
700,True,2,0.012127870693802834
701,True,2,0.012158945202827454
702,True,2,0.012696475721895695
703,True,2,0.058982159942388535
704,True,2,0.06481139361858368
705,True,2,0.062310390174388885
706,True,2,0.06216823682188988
707,True,1,0.023828916251659393
708,True,1,0.023746153339743614
709,True,1,0.02516276016831398
710,True,1,0.026359859853982925
711,True,1,0.02551516517996788
712,True,2,0.060744985938072205
713,True,2,0.06074495241045952
714,True,2,0.059781722724437714
715,True,3,0.07073429226875305
716,True,3,0.0720830112695694
717,True,2,0.012178839184343815
718,True,2,0.01175319217145443
719,True,2,0.011765492148697376
720,True,2,0.012095439247786999
721,True,2,0.012898544780910015
722,True,2,0.012792191468179226
723,True,2,0.01302176434546709
724,True,2,0.012597971595823765
725,True,2,0.012762398459017277
726,True,2,0.01281608734279871
727,True,2,0.012835824862122536
728,True,2,0.012810129672288895
729,True,1,0.0356421135365963
730,True,1,0.0333554744720459
731,True,1,0.03398317098617554
732,True,3,0.07053924351930618
733,True,3,0.07058777660131454
734,True,1,0.035346172749996185
735,True,1,0.034994930028915405
736,True,1,0.034648265689611435
737,True,3,0.048576150089502335
738,True,3,0.05241967737674713
739,True,1,0.03240237385034561
740,True,1,0.03092356212437153
741,True,1,0.021531028673052788
742,True,1,0.02228456363081932
743,True,2,0.02397560328245163
744,True,1,0.022290943190455437
745,True,1,0.022412646561861038
746,True,1,0.02246067300438881
747,True,2,0.012128766626119614
748,True,2,0.07270100712776184
749,True,2,0.07504262775182724
750,True,2,0.0721530094742775
751,True,2,0.07093668729066849
752,True,2,0.132595956325531
753,True,2,0.13009153306484222
754,True,2,0.1344471424818039
755,True,2,0.13434360921382904
756,True,2,0.14473077654838562
757,True,2,0.1273569017648697
758,True,2,0.1275174468755722
759,True,2,0.1332416832447052
760,True,2,0.13419391214847565
761,True,2,0.13512295484542847
762,True,2,0.13649263978004456
763,True,1,0.13565462827682495
764,True,2,0.0707860216498375
765,True,1,0.06681559234857559
766,True,1,0.07136727124452591
767,True,1,0.048854097723960876
768,True,1,0.04728706181049347
769,True,1,0.04908863827586174
770,True,1,0.04862883314490318
771,True,1,0.04387478902935982
772,True,1,0.046961937099695206
773,True,1,0.04589929059147835
774,True,1,0.04848909750580788
775,True,1,0.05024974048137665
776,True,1,0.05134868994355202
777,True,1,0.047804344445466995
778,True,1,0.09660352021455765
779,True,3,0.09321027249097824
780,True,2,0.06281724572181702
781,True,2,0.06103602424263954
782,True,1,0.06886278092861176
783,True,1,0.06935105472803116
784,True,1,0.06975910067558289
785,True,1,0.048062749207019806
786,True,1,0.048892632126808167
787,True,1,0.04751145467162132
788,True,1,0.04489751532673836
789,True,1,0.03966524451971054
790,True,1,0.03900764882564545
791,True,1,0.03694832697510719
792,True,1,0.040976252406835556
793,True,1,0.03321274742484093
794,True,1,0.03938625007867813
795,True,1,0.037395179271698
796,False,0,0.0
797,False,0,0.0
798,False,0,0.0
799,False,0,0.0
800,False,0,0.0
801,False,0,0.0
802,False,0,0.0
803,False,0,0.0
804,False,0,0.0
805,False,0,0.0
806,False,0,0.0
807,False,0,0.0
808,False,0,0.0
809,False,0,0.0
810,False,0,0.0
811,False,0,0.0
812,False,0,0.0
813,False,0,0.0
814,False,0,0.0
815,False,0,0.0
816,False,0,0.0
817,False,0,0.0
818,False,0,0.0
819,False,0,0.0
820,False,0,0.0
821,False,0,0.0
822,False,0,0.0
823,False,0,0.0
824,False,0,0.0
825,False,0,0.0
826,False,0,0.0
827,False,0,0.0
828,False,0,0.0
829,False,0,0.0
830,False,0,0.0
831,False,0,0.0
832,False,0,0.0
833,False,0,0.0
834,False,0,0.0
835,True,1,0.030017098411917686
836,True,1,0.029537437483668327
837,True,1,0.06137855350971222
838,True,1,0.03897283226251602
839,False,0,0.0
840,True,1,0.014094776473939419
841,True,1,0.013475615531206131
842,True,1,0.017399685457348824
843,False,0,0.0
844,False,0,0.0
845,False,0,0.0
846,False,0,0.0
847,False,0,0.0
848,False,0,0.0
849,True,2,0.10554298013448715
850,True,2,0.09358355402946472
851,True,2,0.08666495233774185
852,True,2,0.09678660333156586
853,True,2,0.09760455787181854
854,True,2,0.09346520900726318
855,True,2,0.09139407426118851
856,True,2,0.0965440571308136
857,False,0,0.0
858,False,0,0.0
859,False,0,0.0
860,False,0,0.0
861,False,0,0.0
862,False,0,0.0
863,False,0,0.0
864,False,0,0.0
865,False,0,0.0
866,False,0,0.0
867,True,1,0.14060905575752258
868,True,1,0.27182143926620483
869,False,0,0.0
870,False,0,0.0
871,False,0,0.0
872,True,1,0.0006102853221818805
873,False,0,0.0
874,True,1,0.0005387394921854138
875,False,0,0.0
876,False,0,0.0
877,False,0,0.0
878,False,0,0.0
879,True,1,0.09557104110717773
880,True,1,0.11406400799751282
881,False,0,0.0
882,False,0,0.0
883,False,0,0.0
884,False,0,0.0
885,True,1,0.022810859605669975
886,False,0,0.0
887,False,0,0.0
888,False,0,0.0
889,False,0,0.0
890,False,0,0.0
891,False,0,0.0
892,True,6,0.03628096729516983
893,False,0,0.0
894,False,0,0.0
895,False,0,0.0
896,True,3,0.034743912518024445
897,True,1,0.011812683194875717
898,True,1,0.002000472042709589
899,False,0,0.0
900,False,0,0.0
901,False,0,0.0
902,False,0,0.0
903,False,0,0.0
904,False,0,0.0
905,False,0,0.0
906,False,0,0.0
907,False,0,0.0
908,False,0,0.0
909,False,0,0.0
910,False,0,0.0
911,False,0,0.0
912,False,0,0.0
913,False,0,0.0
914,False,0,0.0
915,False,0,0.0
916,False,0,0.0
917,False,0,0.0
918,False,0,0.0
